Feature,Pearson_r,p_value,__index_level_0__
syll_count,-0.3060449400069165,1.4949245915817471e-64,460
avg_syll_tok,0.0788901960015619,1.9165570226475732e-05,461
flesch_douma,-0.07279493478916112,8.039163195928298e-05,463
brouwer_index,-0.05394184317226883,0.003497783977193183,462
Conn_dz,-0.053607430401390654,0.0037067587347602592,203
Conn_temp_dz,-0.050164101463123244,0.006618700961123355,207
Bijw_bep_alg_dz,-0.04981091309970835,0.00701141873388651,167
Bijw_bep_dz,-0.047494060324065834,0.010148051683967816,164
Ov_abstr_nw_p,-0.0458614647520562,0.013054467711046335,270
Bijw_bep_d,-0.04541046052520804,0.013977398793137679,163
Conn_d,-0.044440201061545795,0.016160262301584172,202
AL_znw_bijzin,-0.044251750332253134,0.016617367355892913,155
AL_ww_bnwpred,-0.044165635652041645,0.016829997610191764,158
Bijw_bep_dz_zbijzin,-0.044008992014671094,0.01722290058511192,165
Par_per_doc,-0.0436310196378772,0.018204231609792627,6
Bijw_bep_alg_d,-0.04319891652322408,0.0193857421801398,166
Form_znw_d,-0.043178813428357284,0.01944230474326644,455
Conn_comp_dz,-0.043170552750214364,0.019465588935258887,223
Conn_temp_d,-0.042697556661605386,0.02084007447214271,206
Abstr_ww_p,-0.04107287216422102,0.026225060230357995,342
sentiment_label_detailed,0.04093842578940843,0.026720256485024012,2
Conn_comp_d,-0.03939173551244383,0.033022680742591404,222
Undefined_bvnw_p,0.03854865000041354,0.03696531901608685,337
Ov_abstr_nw_d,-0.038352401771928814,0.03793849322819887,271
Huww_tijd_dz,-0.03803575187688756,0.03955462737263873,389
Afk_int_d,-0.03780639500568052,0.04076138170197389,428
Conn_reeks_zin_MTLD,-0.03767527003895589,0.0414652002523529,217
Conn_reeks_wg_MTLD,-0.03767527003895589,0.0414652002523529,213
Gebeuren_conc_nw_d,0.03734731486729506,0.04327067546864709,257
Gelabeld_bvnw_p,-0.03730707883296826,0.04349669074285218,338
Wrd_freq_log_sam_nw,0.037183371078105765,0.044197838865341434,82
Ontk_zin_dz,-0.03678674752732161,0.04651042046533867,138
Wrd_freq_log_hfdwrd,0.03638672936664406,0.04894507055338441,83
Conn_comp_MTLD,-0.036241606887959854,0.04985437163609442,225
Conc_nw_ruim_p,0.036235852399462275,0.04989071771174051,12
Freq1000_satwrd_nw,-0.03619801832636031,0.05013023585339396,102
D_level_gt4_p,-0.036176811752340915,0.05026491025139188,133
Gebeuren_conc_nw_p,0.036103854036144516,0.050730552359482185,256
Int_d,-0.03579917940152999,0.0527143038438458,438
AL_vg_conj,-0.03530984836065707,0.05603575781184528,153
Vzu_d,0.03506538586080524,0.05775928416277596,435
Freq5000_hfdwrd_nw,0.03489225925418948,0.05900632885790996,100
Bijw_d,-0.03484412527533146,0.059356983946735505,419
Undefined_nw_p,0.03455756465741572,0.06148051745660031,272
Causaal_MTLD,-0.03442541877160575,0.06248074598138558,235
Toestww_p,-0.034403480294539185,0.06264809596234656,379
Afk_ov_d,-0.034014910788115485,0.06567406257583637,433
Alg_nw_kenn_p,-0.033922425644814326,0.06641175763484679,282
Tijd_d,-0.033734447466074555,0.0679321694020184,232
Huww_tijd_d,-0.033152330527777045,0.07282287376605309,388
Ww_mod_dz,-0.03271682005028796,0.07666716461009775,387
Abstr_ww_d,-0.03262884181356251,0.0774634904045459,343
Conc_tot_p,0.03262866336897445,0.07746511239470222,360
Conn_temp_MTLD,-0.032575231186686884,0.07795203488593654,209
Ontk_tot_dz,-0.03216414838201846,0.08178203804526689,142
Alg_nw_kenn_d,-0.03203056193658324,0.08305900130066404,281
Alg_bijw_d,-0.03201952580034732,0.0831652146908688,362
Conn_MTLD,-0.03200849509960183,0.08327148564093349,205
Freq20000_corr,-0.03190086434791543,0.08431419223877369,110
Conn_contr_MTLD,-0.031644934109584126,0.08683603674430015,221
Pers_vnw2_d,-0.03160790278630038,0.08720591924076465,368
Word_per_doc,-0.03095746808885444,0.09391229738780515,8
Gedekte_ww_p,-0.030850173020770266,0.09505728914652135,345
MTLD_inhwrd,-0.030820863851389983,0.09537199589718577,185
Afk_d,-0.030816856658813556,0.09541508779682988,426
Subst_conc_nw_p,0.030747769176351334,0.09616048294377966,250
MTLD_inhwrd_zonder_abw,-0.03074212528699461,0.09622158092363667,24
Form_vnw_d,-0.030641369201197387,0.09731755053483568,451
Ruimte_d,0.030597041585549524,0.09780287078774999,231
Dekking_inhwrd_prev,-0.030315137431151204,0.10093468581639498,39
Int_bvnw_d,-0.030161981545288607,0.10266935561826912,439
Toestww_d,-0.03001741412360552,0.10432841739259531,380
Vzu_dz,0.029931831030010715,0.10532055752059773,436
Ww_mod_d_,-0.02976946696053552,0.10722335070114322,386
Conn_contr_dz,-0.029428669640498464,0.11130572899913019,219
Compl_bijzin_per_zin,-0.029239321230629858,0.11362634213164063,116
Alg_ev_zr_bvnw_p,-0.028841684896614605,0.11862355230355102,317
Ontk_zin_d,-0.028392435351576262,0.12447484549233828,137
Conc_ww_d,0.028356400761444123,0.1249537615289846,341
Pv_bijzin_per_zin,-0.028174415744481672,0.12739439445740824,124
Conc_nw_strikt_p,0.027821380589547993,0.1322345384169021,13
Conc_ww_p,0.027804811383844455,0.1324651545007422,340
Form_vzg_d,0.027741496723710523,0.13334925921972232,453
Alg_nw_p,-0.027561109345188538,0.13589316064203458,274
Fin_bijzin_per_zin,-0.027196797181102565,0.14114486960965092,117
D_level,-0.027084360757694024,0.14279678213387031,132
Tijd_MTLD,-0.026958794737016043,0.14465907999086278,239
Undefined_ww_p,0.02693104214858809,0.14507318375668485,344
Subst_conc_nw_d,0.026928065020124774,0.14511766012943406,251
Mv_fin_inbed_per_zin,-0.02670707496203932,0.14844834091933914,118
Conn_comp_TTR,-0.0265796657232279,0.15039494945822654,224
Conc_tot_d,0.026460869650116414,0.15222743021357443,361
Conc_nw_ruim_d,0.026241397180412854,0.155657500308059,243
Zin_per_wrd,0.026182585153914185,0.156586542044032,111
Inhwrd_d_zonder_abw,0.025821234283462374,0.1623871918193812,189
Gedekte_nw_p,-0.02580553961175202,0.1626427569663819,273
Gebeuren_abstr_nw_p,-0.02568115119463766,0.1646789794680439,266
Bijzin_conj,-0.025579366827307787,0.1663594023292469,127
Waarn_nmens_ov_bvnw_d,0.024995553715900808,0.1762476670073152,302
Alg_nw_ontw_p,-0.024983875901142653,0.1764498321530256,286
Ontk_tot_d,-0.024759198676408162,0.18037312637654532,141
Alg_nw_ontw_d,-0.024734879383432093,0.18080164201704915,285
Spec_bijw_d,-0.024050118483766043,0.1931794963689574,364
Emotie_d,0.023980550662554424,0.19447101268969644,233
Spec_positief_bvnw_p,-0.023976952167818075,0.1945379900498244,309
MTLD_wrd,-0.023605257752234817,0.20154761322716427,179
Subst_abstr_nw_p,0.023548642404927402,0.20263125271302784,264
AL_lidw_znw,-0.02333410073746666,0.20677615999601567,149
Freq5000_nw_corr,0.022881239815695217,0.2157265952876667,106
Conn_contr_d,-0.022714508448029847,0.21909115956335773,218
Alg_ww_kenn_p,-0.0226640828970888,0.22011610343292523,355
AL_sub_ww,-0.022600820848647712,0.22140681702999798,145
Freq20000_inhwrd,-0.022598380854668153,0.2214567077253696,62
Freq5000_nsam_nw,0.022595408609897494,0.22151749226024484,94
Int_bw_d,-0.022549559548352433,0.2224566525481353,441
Gebeuren_abstr_nw_d,-0.022447756999249852,0.2245521282563315,267
Vd_vrij_dz,-0.022413025238113143,0.2252702526334878,403
TTR_lem,0.02237963091039599,0.2259622682492348,180
Vorm_omvang_bvnw_p,0.02228348821531846,0.2279630541545991,293
Conc_nw_strikt_d,0.022176922240890847,0.2301954595025947,242
Actieww_d,0.02212555130412212,0.2312771398033942,378
Subj_bvnw_p,-0.02210680976661135,0.23167266371836168,335
Alg_ev_zr_bvnw_d,-0.022086172524259862,0.2321087499585963,318
Freq1000_inhwrd,-0.022061100700343332,0.23263932662601322,57
Alg_nw_rel_sit_p,-0.02202642153167601,0.2333746332366921,278
domain,0.022006632417228927,0.23379496156049986,1
Freq1000_hfdwrd_nw,0.021921494725748752,0.23560943478520385,99
Alg_nw_disc_caus_p,-0.02184602605411441,0.23722614766233896,284
TTR_wrd,0.02183033276817164,0.23756331567325792,178
surp_Qwen3-4B,0.021825868483947294,0.23765929196703062,466
Vd_vrij_d,-0.02179780961823362,0.23826314773709115,402
Bijzin_per_zin,-0.021702584733469074,0.24032055416334758,21
Alg_nw_d,-0.02168300694965152,0.24074509318496307,14
Pv_Alpino_per_zin,-0.021556398691889217,0.24350330851585408,129
Freq20000,-0.0215308140399183,0.24406336591413255,56
Conn_caus_MTLD,-0.021476934088817713,0.24524577325635324,229
AL_vz_znw,-0.021455693214273652,0.24571301095228576,150
Alg_nw_afz_sit_p,-0.021277654781452444,0.2496538781384036,276
Namen_d,0.02124997017434921,0.25027061839614045,34
Vorm_omvang_bvnw_d,0.021128212058176766,0.2529956892352054,294
Wrd_per_nwg,-0.020931788809814496,0.2574352616882281,113
Wrd_per_zin,-0.020931788809814496,0.2574352616882281,17
Freq20000_sam_nw,0.02087305527721171,0.2587731911019378,98
Mv_inbed_per_zin,-0.020816527781682394,0.26006540858880517,120
Organisatie_nw_p,-0.020739408720500355,0.2618355379602669,268
Wrd_freq_log_(hfd_sat),0.020734519879055828,0.2619480323388258,85
Zin_per_doc,-0.02069032928664043,0.26296639167288505,7
Alg_ww_kenn_d,-0.02053527486320743,0.26656116632931354,354
Conn_caus_TTR,-0.020359060170191866,0.2706873748269992,228
Spec_ev_bvnw_p,-0.02035363030966556,0.2708152105238908,325
Int_bvbw_d,-0.02033392404153845,0.2712795043312513,440
Alg_ww_disc_caus_p,-0.020143857589653112,0.27578558583013085,357
Waarn_nmens_ov_bvnw_p,0.020021105837824318,0.2787227509275485,301
Waarn_nmens_bvnw_p,0.01993502628453209,0.28079507884081245,291
Infin_bv_d,-0.019894918963567883,0.2817642073954056,392
Freq1000_corr,-0.019829976187416005,0.28333824886356923,108
Ruimte_TTR,-0.019827025784831323,0.28340989993580745,236
Spec_positief_bvnw_d,-0.01979517524374251,0.2841841771984138,310
KConj_dz,0.019589646466607893,0.28921491649027065,176
Actieww_p,0.01934979451183041,0.29516117522300517,377
Alg_nw_disc_caus_d,-0.019315748222495276,0.29601181653031616,283
Freq1000,-0.019298322065793294,0.29644784028991245,51
AL_ww_schdw,-0.019233633907763698,0.29807017183160134,156
Int_nw_d,-0.018800240697368638,0.30909204169128446,443
AL_ww_bwbwp,-0.018796822175223382,0.3091800368350094,160
Infin_bv_dz,-0.01875749445087487,0.31019355002958376,393
Freq5000_nw,0.018681340308488125,0.31216234176443514,91
Conn_reeks_wg_dz,0.018592304155918893,0.3144745825163837,211
Plaatsnamen_d,0.018436723664159667,0.3185419076807585,373
Bijw_bijzin_per_zin,-0.01836646878946887,0.3203898088868063,115
Ov_abstr_bvnw_p,-0.01833809240724992,0.32113816954274044,323
TTR_namen,0.018334390236118492,0.3212358897321643,182
Alg_nw_afz_sit_d,-0.018332663183092655,0.32128148258097833,275
Pers_namen_d,0.018259774953790962,0.32320952563215166,372
Ww_tt_dz,0.018183057344919453,0.32524698974750665,385
Freq20000_hfdwrd_nw,0.018095022943980812,0.3275952724699494,101
Spec_d,0.017968850227335274,0.33098000863221244,424
Alg_ww_p,-0.017890462642531888,0.3330941967661073,347
Spec_ev_bvnw_d,-0.01761011176228141,0.3407266504947098,326
Subst_abstr_nw_d,0.017521098965481825,0.3431732275395834,265
Alg_ww_hand_p,-0.017368275290425006,0.3473997840023958,353
Ovd_nw_dz,-0.017243519176607203,0.3508745231532889,407
Wrd_freq_log_corr,-0.017198919567285722,0.35212204758501386,87
avg_rt_view,0.01718967615628017,0.35238095169226585,464
Conc_bvnw_strikt_p,0.01706149123513663,0.3559837653285854,331
MTLD_lem,-0.016960148138151818,0.3588485243771735,181
Freq20000_inhwrd_zonder_abw,-0.016949623075381004,0.35914687417501995,68
Ov_abstr_bvnw_d,-0.016843935369206857,0.36215139443263167,324
Ww_tt_p,0.016796770830354885,0.36349726567333845,384
Alg_negatief_bvnw_d,0.016791580183402138,0.3636455750101883,316
Vg_d,-0.016762860012711604,0.36446686334520834,415
surp_Qwen3-1.7B,0.016696339801613384,0.36637353522447846,467
Pv_Frog_per_zin,-0.01662541748721729,0.36841322017614325,131
Attr_bijv_nw_d,-0.01662092980312779,0.3685425205691595,170
